sig50Rvs50OM,sigExp,sig50OM,sig90Reward,RPEsign,EXPsign,sig50R,OM50sign,Rewardsign,pureReward,pureExp,RPE,pureRewardWithCue,pureExpDir,pureRPEDir,brainArea,mixed,other
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,DA,0,0
0,1,1,1,0,1,1,-1,1,0,1,0,0,1,0,VTA2,0,0
0,0,1,1,0,1,1,-1,1,0,1,0,0,1,0,VTA2,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,VTA2,0,1
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
0,1,1,1,0,1,1,-1,1,0,1,0,0,1,0,VTA2,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,VTA3,1,0
1,0,1,1,2,0,1,1,0,0,0,0,0,0,2,VTA3,1,0
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,VTA3,1,0
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,VTA2,0,0
1,0,0,1,2,0,1,0,0,1,0,0,0,0,2,VTA3,0,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
0,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,VTA2,0,1
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,VTA2,1,0
1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,VTA2,1,0
1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,VTA2,0,1
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,VTA2,1,0
1,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,VTA2,0,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
0,1,1,1,0,2,1,1,0,0,1,0,0,2,0,VTA3,0,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
0,0,1,1,0,2,1,1,0,0,1,0,0,2,0,VTA3,0,0
0,0,1,1,0,2,1,1,0,0,1,0,0,2,0,VTA3,0,0
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,VTA2,1,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,DA,0,0
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,DA,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Striatum,0,1
