sig50Rvs50OM,sigExp,sig50OM,sig90Reward,RPEsign,EXPsign,sig50R,OM50sign,Rewardsign,pureReward,pureExp,RPE,pureRewardWithCue,pureExpDir,pureRPEDir,brainArea,mixed,other
0,0,1,1,0,2,1,1,0,0,1,0,0,2,0,RMTg,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,RMTg,0,1
0,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Lateral hypothalamus,0,1
0,1,1,1,0,2,0,-1,0,0,1,0,0,2,0,Lateral hypothalamus,0,0
0,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,Lateral hypothalamus,0,1
1,0,0,0,2,0,1,0,0,1,0,0,0,0,2,Lateral hypothalamus,0,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,Lateral hypothalamus,0,0
1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,Lateral hypothalamus,1,0
0,0,1,1,2,0,1,1,0,0,0,0,0,0,2,Lateral hypothalamus,0,1
1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,Lateral hypothalamus,0,0
1,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,Lateral hypothalamus,0,0
1,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,Lateral hypothalamus,1,0
0,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Lateral hypothalamus,0,1
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,Lateral hypothalamus,0,0
0,0,1,1,0,1,1,-1,1,0,1,0,0,1,0,Lateral hypothalamus,0,0
1,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,Lateral hypothalamus,0,0
0,1,0,1,0,2,0,0,0,0,1,0,0,2,0,Lateral hypothalamus,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Lateral hypothalamus,0,1
1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,Lateral hypothalamus,1,0
1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,Lateral hypothalamus,0,0
